"REC","DIST","NAME","GISNAME","District","School","M","B","SUB_ALG1","SUB_ALG2","SUB_USHIS","SUB_BIO","SUB_GEO","SUB_ENG2","SUB_ENG3"
,,,,"57I002",705,,,8,0,5,9,3,3,10
,,,,"57I011",715,,,3,0,0,4,3,3,1
,,,,"57I029",715,,,3,5,2,1,0,3,1
,,,,"57I038",705,,,6,0,9,11,4,3,5
,,,,"57I050",705,,,3,0,2,6,1,8,0
,,,,"57I090",705,,,1,1,4,1,2,3,11
,,,,"58I001",715,,,6,0,1,1,0,2,1
,,,,"58I014",705,,,7,0,1,15,0,4,2
,,,,"58I018",705,,,18,4,2,25,11,9,5
,,,,"58I023",705,,,37,2,15,47,1,25,4
,,,,"58I026",705,,,3,0,0,3,0,12,3
,,,,"58I031",510,,,1,0,0,0,0,0,0
,,,,"58I031",705,,,45,45,45,45,48,45,45
,,,,"60I003",705,,,3,7,0,3,4,3,1
,,,,"60I016",705,,,44,169,161,150,156,166,194
,,,,"60I067",705,,,18,6,4,13,7,13,4
,,,,"60I101",705,,,3,3,1,2,1,4,1
,,,,"60I103",715,,,12,0,2,5,5,4,3
,,,,"61I001",705,,,10,0,2,5,2,8,0
,,,,"61I011",705,,,12,0,7,8,4,5,4
,,,,"61I014",715,,,2,1,4,0,1,2,0
,,,,"61I025",715,,,16,8,9,5,12,4,5
,,,,"61I028",705,,,6,5,7,8,2,5,5
,,,,"61I030",705,,,30,0,0,40,28,10,3
,,,,"61I080",705,,,22,1,4,12,6,21,3
,,,,"62I001",705,,,3,2,0,3,0,5,1
,,,,"62I016",705,,,8,6,9,18,9,13,6
,,,,"62I019",705,,,17,2,5,6,7,16,12
,,,,"62I024",610,,,16,0,0,0,0,0,0
,,,,"62I024",705,,,45,63,63,64,47,64,54
,,,,"62I037",705,,,4,0,4,1,0,2,0
,,,,"63I001",705,,,15,0,3,15,4,15,8
,,,,"63I003",705,,,2,40,134,103,42,122,67
,,,,"63I005",705,,,3,0,0,0,0,5,2
,,,,"63I092",705,,,13,1,3,2,5,4,5
,,,,"63I092",710,,,76,37,59,64,67,56,49
,,,,"63I093",705,,,49,17,16,19,10,40,24
,,,,"64I001",705,,,3,0,0,1,1,4,2
,,,,"64I013",705,,,2,1,4,4,1,3,6
,,,,"64I022",705,,,0,0,0,1,0,1,1
,,,,"65I003",705,,,2,0,10,0,2,0,0
,,,,"65I006",705,,,0,0,1,1,0,0,0
,,,,"65I007",705,,,0,0,1,3,0,3,0
,,,,"65I066",705,,,0,0,6,1,1,0,1
,,,,"66I001",705,,,126,103,148,142,130,138,123
,,,,"66I002",705,,,42,23,8,30,33,16,4
,,,,"66I003",705,,,8,0,1,5,0,12,0
,,,,"66I004",705,,,22,11,10,19,10,18,6
,,,,"66I005",715,,,18,4,26,14,2,10,3
,,,,"66I006",705,,,3,1,0,0,6,5,1
,,,,"66I007",705,,,3,0,6,7,0,3,2
,,,,"66I008",705,,,7,2,2,9,3,8,2
,,,,"67I001",715,,,15,14,12,13,13,21,12
,,,,"67I003",705,,,9,4,1,4,8,6,4
,,,,"67I004",705,,,7,0,0,4,3,3,0
,,,,"67I006",705,,,1,1,0,3,2,1,2
,,,,"67I007",705,,,7,0,0,0,1,2,1
,,,,"67I010",705,,,0,1,0,0,1,6,0
,,,,"67I015",705,,,7,0,5,12,4,4,0
,,,,"68I002",705,,,3,0,1,4,9,3,1
,,,,"68I003",705,,,32,8,10,22,35,16,8
,,,,"69I001",705,,,76,23,25,38,51,34,26
,,,,"69I002",705,,,15,3,13,9,2,5,6
,,,,"69I003",705,,,15,4,16,25,21,8,0
,,,,"69I015",715,,,4,8,7,5,4,2,3
,,,,"69I021",715,,,7,0,3,12,2,7,1
,,,,"69I034",705,,,2,1,3,6,4,6,3
,,,,"69I042",705,,,14,4,2,1,2,1,8
,,,,"70I001",705,,,2,0,0,1,0,0,0
,,,,"70I008",705,,,228,58,35,88,71,72,37
,,,,"70I023",715,,,25,4,4,12,7,9,6
,,,,"70I053",705,,,7,1,5,8,2,5,5
,,,,"70I060",705,,,0,0,0,0,1,0,1
,,,,"71I008",715,,,48,7,23,28,30,26,19
,,,,"71I158",710,,,24,14,22,38,2,25,14
,,,,"72G972",972,,,11,1,0,7,4,2,1
,,,,"72I001",705,,,134,107,86,169,116,103,62
,,,,"72I001",710,,,190,32,55,150,97,138,57
,,,,"72I001",712,,,68,65,52,93,64,43,33
,,,,"72I001",715,,,227,145,141,234,207,203,145
,,,,"72I001",720,,,71,40,50,74,58,52,38
,,,,"72I001",725,,,76,36,64,56,50,71,51
,,,,"72I001",730,,,22,0,0,101,2,7,0
,,,,"72I001",735,,,19,34,19,49,13,14,9
,,,,"72I001",740,,,67,52,38,72,74,36,29
,,,,"72I001",745,,,42,13,12,38,20,23,10
